0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:25 +0700] "GET /cassava_mvc/variety/varietyDelete/59 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:25 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 107641
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:25 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:36 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 107641
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:36 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:40 +0700] "GET /cassava_mvc/variety/varietyDelete/56 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:40 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 21797
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:40 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:41 +0700] "GET /cassava_mvc/variety/varietyCreate/ HTTP/1.1" 200 42173
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:41 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:54 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:54 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 107643
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:54 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:56 +0700] "GET /cassava_mvc/variety/varietyEdit/60 HTTP/1.1" 200 32511
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:56 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:58 +0700] "GET /cassava_mvc/variety/varietyImageEdit/60 HTTP/1.1" 200 26107
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:10:58 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:02 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:02 +0700] "GET /cassava_mvc/variety/varietyImageEdit/60 HTTP/1.1" 200 79077
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:02 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:06 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:06 +0700] "GET /cassava_mvc/variety/varietyImageEdit/60 HTTP/1.1" 200 79077
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:06 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:09 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 75023
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:09 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:13 +0700] "GET /cassava_mvc/variety/varietyDelete/60 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:13 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 21797
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:11:13 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:17:43 +0700] "GET /cassava_mvc/variety/%7B%7B%20url('user/organizationIndex')%7D%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:17:48 +0700] "GET /cassava_mvc/home HTTP/1.1" 200 21340
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:17:48 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:17:51 +0700] "GET /cassava_mvc/home HTTP/1.1" 200 21340
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:17:51 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:17:56 +0700] "GET /cassava_mvc/%7B%7B%20url('/firstPage')%20%7D%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:05 +0700] "GET /cassava_mvc/ HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:07 +0700] "GET /cassava_mvc/register/registEmail HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:08 +0700] "GET /cassava_mvc/register/registCode HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:09 +0700] "GET /cassava_mvc/register/registInfoFarmer HTTP/1.1" 200 7243
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:20 +0700] "POST /cassava_mvc/register/registInfoFarmerSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:21 +0700] "GET /cassava_mvc/ HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:22 +0700] "GET /cassava_mvc/register/registEmail HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:23 +0700] "GET /cassava_mvc/register/registCode HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:24 +0700] "GET /cassava_mvc/register/registInfoStaff HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:30 +0700] "POST /cassava_mvc/register/registInfoStaffSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:30 +0700] "GET /cassava_mvc/ HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:32 +0700] "GET /cassava_mvc/register/registEmail HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:38 +0700] "GET /cassava_mvc/register/registEmail HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:18:39 +0700] "GET /cassava_mvc/register/registCode HTTP/1.1" 200 2331
