0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:49 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:50 +0700] "POST /cassava_mvc/naturalenemy/naturalenemyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:51 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyImageEdit/10 HTTP/1.1" 200 464545
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:51 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:55 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyImageDelete/6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:55 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyImageEdit/10 HTTP/1.1" 200 463867
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:55 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:57 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyIndex HTTP/1.1" 200 43180
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:57 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:59 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyCreate HTTP/1.1" 200 28465
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:59 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:32:13 +0700] "POST /cassava_mvc/naturalenemy/naturalenemySave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:32:13 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyIndex HTTP/1.1" 200 243096
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:32:13 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:32:17 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyDelete/11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:32:17 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyIndex HTTP/1.1" 200 43180
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:32:17 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:35:24 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 438855
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:35:24 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:35:33 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32158
